Player ID,First Name,Last Name,Team,Season,Roster URL,Position,Height,Class
1,Maggie,Doogan,Richmond,2025-26,,F,,
18,Ashlon,Jackson,Duke,2025-26,,G,,
19,Taina,Mair,Duke,2025-26,,G,,
62,Charlise,Dunn,Davidson,2025-26,,G,,
111,Raven,Johnson,South Carolina,2025-26,,G,,
115,Sakima,Walker,California,2025-26,,C,,
121,Ruby,Whitehorn,Tennessee,2025-26,,G,,
190,Nyla,Harris,North Carolina,2025-26,,F,,
219,Kara,Dunn,USC,2025-26,,G,,
220,Tonie,Morgan,Kentucky,2025-26,,G,,
258,Ta'Niya,Latson,South Carolina,2025-26,,G,,
268,Lazaria,Spearman,Tennessee,2025-26,,F,,
278,Latasha,Lattimore,Ole Miss,2025-26,,F,,
311,Teonni,Key,Kentucky,2025-26,,F,,
313,Indya,Nivar,North Carolina,2025-26,,G,,
327,Cassandre,Prosper,Notre Dame,2025-26,,G,,
329,Olivia,Miles,TCU,2025-26,,G,,
346,Cotie,McMahon,Ole Miss,2025-26,,F,,
372,Azzi,Fudd,UConn,2025-26,,G,,
373,Caroline,Ducharme,UConn,2025-26,,G,,
417,Saylor,Poffenbarger,Maryland,2025-26,,G,,
480,Raegan,Beers,Oklahoma,2025-26,,C,,
500,Maryam,Dauda,South Carolina,2025-26,,F,,
550,Marta,Suarez,TCU,2025-26,,F,,
669,Bella,Fontleroy,Baylor,2025-26,,F,,
670,Darianna,Littlepage-Buggs,Baylor,2025-26,,F,,
707,Jordan,Harrison,West Virginia,2025-26,,G,,
727,Madina,Okot,South Carolina,2025-26,,C,,
730,Angela,Dugalic,UCLA,2025-26,,F,,
731,Gianna,Kneepkens,UCLA,2025-26,,G,,
732,Gabriela,Jaquez,UCLA,2025-26,,G,,
733,Charlisse,Leger-Walker,UCLA,2025-26,,G,,
734,Kiki,Rice,UCLA,2025-26,,G,,
738,Megan,Grant,UCLA,2025-26,,G,,
741,Lauren,Betts,UCLA,2025-26,,C,,
746,Flau'jae,Johnson,LSU,2025-26,,G,,
771,Uche,Izoje,Syracuse,2025-26,,C,,
773,Laila,Phelia,Syracuse,2025-26,,G,,
805,Gabby,White,Virginia,2025-26,,G,,
