School,Nickname,Abrev,Conference,Location,Home Venue
Abilene Christian,Wildcats,ACU,WAC,"Abilene, TX",Moody Coliseum (Abilene)
Air Force,Falcons,AF,MWC,"Colorado Springs, CO",Clune Arena
Akron,Zips,AKR,MAC,"Akron, OH",James A. Rhodes Arena
Alabama,Crimson Tide,UA,SEC,"Tuscaloosa, AL",Coleman Coliseum
Alabama A&M,Bulldogs,AAMU,SWAC,"Huntsville, AL",Event Center
Alabama State,Hornets,ALAST,SWAC,"Montgomery, AL",Dunn-Oliver Acadome
Albany,Great Danes,ALBNY,AmEast,"Albany, NY",Broadview Center
Alcorn State,Braves,ALCST,SWAC,"Lorman, MS",Davey L. Whitney Complex
American University,Eagles,AMERU,Patriot,"Washington, DC",Bender Arena
Appalachian State,Mountaineers,APPST,Sun Belt,"Boone, NC",George M. Holmes Convocation Center
Arizona,Wildcats,ARZ,Big 12,"Tucson, AZ",McKale Center
Arizona State,Sun Devils,ASU,Big 12,"Tempe, AZ",Desert Financial Arena
Arkansas,Razorbacks,ARK,SEC,"Fayetteville, AR",Bud Walton Arena
Arkansas State,Red Wolves,ARKST,Sun Belt,"Jonesboro, AR",First National Bank Arena
Arkansas-Pine Bluff,Golden Lions,UAPB,SWAC,"Pine Bluff, AR",H.O. Clemmons Arena
Army West Point,Black Knights,USMA,Patriot,"West Point, NY",Christl Arena
Auburn,Tigers,AUB,SEC,"Auburn, AL",Neville Arena
Austin Peay,Governors,APSU,A-Sun,"Clarksville, TN",F&M Bank Arena
Ball State,Cardinals,BLLST,MAC,"Muncie, IN",John E. Worthen Arena
Baylor,Bears,BAYL,Big 12,"Waco, TX",Foster Pavilion
Bellarmine,Knights,BELL,A-Sun,"Louisville, KY",Knights Hall
Belmont,Bruins,BLMNT,MVC,"Nashville, TN",Curb Event Center Arena
Bethune-Cookman,Wildcats,BTHCK,SWAC,"Daytona Beach, FL",Moore Gymnasium (FL)
Binghamton,Bearcats,BNGH,AmEast,"Binghamton, NY",Events Center (Binghamton)
Boise State,Broncos,BOISE,MWC,"Boise, ID",ExtraMile Arena
Boston College,Eagles,BOS,ACC,"Chestnut Hill, MA",Silvio O. Conte Forum
Boston University,Terriers,BSTN,Patriot,"Boston, MA",Case Gym
