Overall Rank,Division Rank,Player,Team,Division,Position,Games,Average Hoop Score,Highest Hoop Score,Lowest Hoop Score,Standard Deviation,Projected Level
1,1,Audi Crooks,Iowa State,D1,C,31,99,99,80.2,6.1,D1
2,2,Sarah Strong,UConn,D1,F,38,99,99,71,4.7,D1
3,3,Ava Heiden,Iowa,D1,C,35,99,99,65.6,9,D1
4,4,Lauren Betts,UCLA,D1,C,37,99,99,65.6,9,D1
5,5,Gracie Merkle,Penn State,D1,C,26,99,99,78.3,6.2,D1
6,6,Raegan Beers,Oklahoma,D1,C,34,99,99,63.5,9.1,D1
7,7,Madina Okot,South Carolina,D1,C,39,99,99,59.5,11.4,D1
8,8,Hannah Hidalgo,Notre Dame,D1,G,36,99,99,48.4,11.3,D1
9,9,Mikayla Blakes,Vanderbilt,D1,G,34,99,99,61.6,12,D1
10,10,Kaylene Smikle,Maryland,D1,G,7,99,99,59.5,17.6,D1
11,11,Ehis Etute,Oregon,D1,F,35,99,99,43.1,15.6,D1
12,12,Lauren Whittaker,Gonzaga,D1,F,34,99,99,43,14.1,D1
13,13,Jaloni Cambridge,Ohio State,D1,G,35,99,99,65.2,11.7,D1
14,14,Brooklyn Meyer,South Dakota State,D1,F,34,99,99,60.6,10,D1
15,15,Clara Strack,Kentucky,D1,C,36,99,99,65.4,10.3,D1
16,16,Uche Izoje,Syracuse,D1,C,33,99,99,64.6,11.7,D1
17,17,Ny'Ceara Pryor,Texas A&M-CC,D1,G,22,99,99,36.3,17,D1
18,18,Jaliya Davis,Kansas,D1,F,27,99,99,55.4,13,D1
19,19,Avery Koenen,North Dakota State,D1,F,34,99,99,66.7,10.5,D1
20,20,Ra Shaya Kyle,Miami,D1,C,32,99,99,52.6,11.2,D1
21,21,S'Mya Nichols,Kansas,D1,G,37,99,99,49.8,13,D1
22,22,Fatmata Janneh,Texas A&M-CC,D1,F,22,99,99,49.5,16.9,D1
23,23,Azzi Fudd,UConn,D1,G,39,99,99,53.7,13.7,D1
24,24,Elsa Lemmilä,Ohio State,D1,C,34,99,99,56.8,14.4,D1
25,25,Achol Akot,Oklahoma State,D1,F,34,99,99,52.8,13.5,D1
26,26,Tessa Towers,Ball State,D1,C,33,99,99,54.7,12.1,D1
27,27,Mia Woolfolk,Georgia,D1,F,30,99,99,54.2,13.6,D1
28,28,Toby Fournier,Duke,D1,F,36,99,99,60.9,12.5,D1
29,29,Britt Prince,Nebraska,D1,G,32,99,99,54.9,13.4,D1
30,30,Talaysia Cooper,Tennessee,D1,G,29,99,99,61.2,14.3,D1
31,31,Olivia Miles,TCU,D1,G,38,99,99,64.1,12.3,D1
32,32,Khamil Pierre,NC State,D1,F,32,99,99,55.7,11,D1
33,33,Joyce Edwards,South Carolina,D1,F,40,99,99,56.3,14.4,D1
34,34,Clara Silva,TCU,D1,C,38,99,99,54.6,13.8,D1
35,35,Oluchi Okananwa,Maryland,D1,G,33,99,99,49.1,17.2,D1
36,36,Kiki Rice,UCLA,D1,G,38,99,99,58.9,10.8,D1
37,37,Madison Booker,Texas,D1,F,40,99,99,40.4,14.1,D1
38,38,MiLaysia Fulwiley,LSU,D1,G,35,99,99,39,16.8,D1
39,39,Olivia Olson,Michigan,D1,G,35,99,99,53.1,16,D1
40,40,Amiah Hargrove,Nebraska,D1,F,31,99,99,50.9,15.4,D1
41,41,Hannah Stuelke,Iowa,D1,F,33,99,99,43.3,14.6,D1
42,42,Nyla Harris,North Carolina,D1,F,35,99,99,55.8,15.8,D1
43,43,Grace Sullivan,Northwestern,D1,F,28,99,99,56.9,14.4,D1
44,44,Shay Ciezki,Indiana,D1,G,31,99,99,58,14.7,D1
45,45,Cearah Parchment,Illinois,D1,F,34,99,99,56.2,13.5,D1
46,46,Sophie Hart,Minnesota,D1,C,33,99,99,57.1,14.8,D1
47,47,Kennedy Blair,Michigan State,D1,G,33,99,99,54.7,14.3,D1
48,48,Sophie Glancey,Santa Clara,D1,F,18,99,99,50.6,17.4,D1
49,49,Kyla Oldacre,Texas,D1,F,40,99,99,52.6,14.5,D1
50,50,Sacha Washington,Vanderbilt,D1,F,33,99,99,45,15,D1
51,51,Me'Arah O'Neal,Florida,D1,G,33,99,99,53.1,13.6,D1
52,52,Timaya Lewis-Eutsey,Marshall,D1,G,38,99,99,50.3,15.3,D1
53,53,Grace VanSlooten,Michigan State,D1,F,33,99,99,55.6,13.6,D1
54,54,Sakima Walker,California,D1,C,36,99,99,52.1,13.9,D1
55,55,Janiah Barker,Tennessee,D1,F,27,99,99,30.9,16.9,D1
56,56,Cotie McMahon,Ole Miss,D1,F,36,99,99,53.6,13.8,D1
57,57,Sharnecce Currie-Jelks,Murray State,D1,F,35,99,99,62.2,11.2,D1
