Team,Division,Initial Rating,Current Rating,Strength of Schedule,Average Opponent Rating,Home Rating,Away Rating,Last Updated
Abilene Christian,D1,3.43,6.85,0.29,0.87,8.44,5.45,2026-08-12T04:50:27
Air Force,D1,1.97,-0.19,3.01,1.59,3.89,-2.72,2026-08-12T04:50:27
Akron,D1,-8.73,-8.69,4.14,3.13,-8.2,-9.15,2026-08-12T04:50:27
Alabama,D1,32.71,29.62,21.19,19.05,30.66,27.86,2026-08-12T04:50:27
Alabama A&M,D1,-5.06,-3.41,-6.02,-2.38,-1.41,-5.05,2026-08-12T04:50:27
Alabama State,D1,-24.37,-13.34,-6.74,-3.33,-13.12,-13.51,2026-08-12T04:50:27
Albany,D1,4.31,-0.58,-1.2,-1.32,1.95,-2.64,2026-08-12T04:50:27
Alcorn State,D1,-13.88,-12.15,-6.15,-1.07,-11.05,-13.02,2026-08-12T04:50:27
American University,D1,-22.58,-13.92,-3.41,-2.86,-13.85,-13.98,2026-08-12T04:50:27
App State,D1,-4.39,1.81,5.1,4.21,6.93,-2.62,2026-08-12T04:50:27
Arizona,D1,18.34,10.48,11.85,10.46,11.55,8.35,2026-08-12T04:50:27
Arizona State,D1,9.34,20.63,14.92,13.77,22.27,18.9,2026-08-12T04:50:27
Arkansas,D1,8.5,11.75,17.31,16.78,15.47,5.54,2026-08-12T04:50:27
Arkansas State,D1,4.39,12.63,3.6,3.53,17.52,7.17,2026-08-12T04:50:27
Arkansas-Pine Bluff,D1,-23.01,-17.81,-8.78,-4.96,-12.78,-20.89,2026-08-12T04:50:27
Army,D1,0.12,3.68,-3.6,-2.23,6.95,0.41,2026-08-12T04:50:27
Auburn,D1,19.28,15.21,18.78,18.06,18.68,11.28,2026-08-12T04:50:27
Austin Peay,D1,-6.48,2.18,-2.24,-1.78,-2.19,5.78,2026-08-12T04:50:27
Ball State,D1,14.82,13.23,2.79,4.12,14.63,11.98,2026-08-12T04:50:27
Baylor,D1,33.7,27.56,17.29,15.71,29.6,23.81,2026-08-12T04:50:27
Bellarmine,D1,-5.45,-31.98,2.83,4.5,-29.26,-33.69,2026-08-12T04:50:27
Belmont,D1,18.41,9.25,5.03,9.08,10.78,7.52,2026-08-12T04:50:27
Bethune-Cookman,D1,-15.31,-20.33,-9.06,-7.66,-17.35,-21.82,2026-08-12T04:50:27
Binghamton,D1,-7.72,0.36,-0.09,0.6,3.94,-2.59,2026-08-12T04:50:27
Boise State,D1,5.64,7.81,2.08,2.92,12.28,0.93,2026-08-12T04:50:27
Boston College,D1,16.21,0.38,13.12,12.76,-0.5,1.77,2026-08-12T04:50:27
Boston University,D1,-10.29,-9.07,-3.97,-3.22,-11.24,-7.17,2026-08-12T04:50:27
Bowling Green,D1,5.24,0.56,3.48,3.98,2.16,-0.83,2026-08-12T04:50:27
Bradley,D1,-0.8,3.49,-0.35,-0.01,7.88,-0.9,2026-08-12T04:50:27
BYU,D1,14.52,20.53,14.37,13.03,22.73,17.15,2026-08-12T04:50:27
Brown,D1,-0.36,4.72,1.99,-0.13,10.2,1.29,2026-08-12T04:50:27
Bryant,D1,-7.16,0.6,-5.53,-7.11,2.63,-0.83,2026-08-12T04:50:27
Bucknell,D1,-1.27,-10.89,-3.24,-2.31,-8.34,-13.43,2026-08-12T04:50:27
Buffalo,D1,9.42,-11.4,1.76,1.8,-8.86,-14.31,2026-08-12T04:50:27
Butler,D1,8.05,9.12,11.93,9.81,10.66,7.26,2026-08-12T04:50:27
Cal Poly,D1,-6.33,-15.97,3.81,6.13,-10.67,-19.95,2026-08-12T04:50:27
Cal State Bakersfield,D1,-19.98,-10.25,-1.42,-1.68,-9.11,-11.32,2026-08-12T04:50:27
Cal State Fullerton,D1,-13.71,0.39,-1.58,-1.45,2.2,-1.42,2026-08-12T04:50:27
Cal State Northridge,D1,-22.64,-8.03,-0.32,0.14,-5.81,-9.96,2026-08-12T04:50:27
California,D1,26,21.66,15.71,15.49,24.11,17.8,2026-08-12T04:50:27
California Baptist,D1,-6.01,6.7,1.93,3.49,9.77,3.63,2026-08-12T04:50:27
Campbell,D1,1.69,-2.68,-3.71,-3.31,-0.16,-4.87,2026-08-12T04:50:27
Canisius,D1,-15.09,-17.39,-4.01,-2.98,-18.28,-16.56,2026-08-12T04:50:27
Central Arkansas,D1,-0.69,5.97,-2.8,-1.62,9.32,3.4,2026-08-12T04:50:27
Central Connecticut,D1,-16.48,-27.62,-9.06,-6.54,-24.32,-30.26,2026-08-12T04:50:27
Central Michigan,D1,-1.2,6.93,3.76,5.39,5.86,7.81,2026-08-12T04:50:27
Charleston,D1,9.38,8.17,-2.67,-1.22,9.29,6.82,2026-08-12T04:50:27
Charleston Southern,D1,-14.11,-15.83,-3.38,-0.2,-17.47,-14.5,2026-08-12T04:50:27
Charlotte,D1,-4.77,4.46,7.18,8.16,6.72,1.14,2026-08-12T04:50:27
Chattanooga,D1,-0.37,-2.61,-5.06,-3,-2.17,-3.08,2026-08-12T04:50:27
Chicago State,D1,-20.58,-20.46,-6.56,-2.86,-18.92,-21.49,2026-08-12T04:50:27
Cincinnati,D1,14.07,11.04,15.81,14.74,16.49,4.81,2026-08-12T04:50:27
Clemson,D1,18.68,22.67,14.06,12.8,25.02,20.45,2026-08-12T04:50:27
Cleveland State,D1,7.51,4.12,-3.31,-3.93,7.59,0.44,2026-08-12T04:50:27
Coastal Carolina,D1,7.32,5.98,3.98,3.02,8.52,3.45,2026-08-12T04:50:27
Colgate,D1,2.56,-14.43,-2.4,-1.08,-11.63,-16.58,2026-08-12T04:50:27
Colorado,D1,18.7,23.71,17.06,15.57,26.57,19.61,2026-08-12T04:50:27
Colorado State,D1,10.7,14.58,4.35,4.44,13.62,15.66,2026-08-12T04:50:27
Columbia,D1,19.91,20.86,7.8,8.94,19.41,22.22,2026-08-12T04:50:27
Coppin State,D1,-3.28,-9.47,1.79,6.78,-8.79,-9.85,2026-08-12T04:50:27
Cornell,D1,-5.84,-9.61,1.08,-1.05,-10.51,-8.95,2026-08-12T04:50:27
Creighton,D1,25.28,13.28,14.24,11.82,17.7,9.9,2026-08-12T04:50:27
Dartmouth,D1,-11.53,-13.58,0.14,-2.69,-11.77,-14.78,2026-08-12T04:50:27
Davidson,D1,10.59,13.88,6.55,6.28,15.97,11.66,2026-08-12T04:50:27
Dayton,D1,3.52,3.14,3.72,3.37,3.54,2.64,2026-08-12T04:50:27
Delaware,D1,-5.12,-3.58,-0.07,-0.16,-2.23,-4.85,2026-08-12T04:50:27
Delaware State,D1,-28.52,-17.42,-4.64,-2.41,-14.04,-19.74,2026-08-12T04:50:27
Denver,D1,-4.95,-7.85,0.76,0.8,-4.92,-10.04,2026-08-12T04:50:27
DePaul,D1,8.32,2.28,11.56,9.31,5.54,-1.4,2026-08-12T04:50:27
Detroit-Mercy,D1,-7.87,-10.33,0.11,0.66,-10.01,-10.64,2026-08-12T04:50:27
Drake,D1,15,-0.48,2.49,5.64,0.77,-1.89,2026-08-12T04:50:27
Drexel,D1,-3.03,0.89,-5.46,-5.19,4.56,-2.36,2026-08-12T04:50:27
Duke,D1,38.9,38.39,24.03,20.95,44.31,31.78,2026-08-12T04:50:27
Duquesne,D1,7.7,-2.13,1.22,0.83,-1.87,-2.31,2026-08-12T04:50:27
East Carolina,D1,6.26,8.11,2.17,1.95,8.77,7.01,2026-08-12T04:50:27
East Tennessee State,D1,-1.65,-5.35,-3.8,-2,-7.03,-3.3,2026-08-12T04:50:27
East Texas A&M,D1,-12.84,-10.11,-3.42,-1.42,-6.97,-12.81,2026-08-12T04:50:27
Eastern Illinois,D1,0.72,-13.51,1.46,2.91,-11.21,-15.17,2026-08-12T04:50:27
Eastern Kentucky,D1,-0.2,6.73,-3.3,-1.56,9.04,4.42,2026-08-12T04:50:27
Eastern Michigan,D1,-13.62,0.38,2.55,2.76,0.66,0.16,2026-08-12T04:50:27
Eastern Washington,D1,-2.41,-1.04,1.22,1,-0.39,-1.51,2026-08-12T04:50:27
Elon,D1,-7.02,-3.13,-3.92,-3.53,2.56,-7.56,2026-08-12T04:50:27
Evansville,D1,-11.67,-6.37,1.11,0.96,-3.48,-8.09,2026-08-12T04:50:27
Fairfield,D1,13.95,15.64,-2.9,0.37,17.23,14.15,2026-08-12T04:50:27
Fairleigh Dickinson,D1,-1.07,3.22,-10.28,-6.28,3.95,2.5,2026-08-12T04:50:27
Florida,D1,21.18,23.69,17.23,16.37,27.39,17.99,2026-08-12T04:50:27
Florida A&M,D1,-10.74,-18.84,-7.54,-5.87,-14,-22.54,2026-08-12T04:50:27
Florida Atlantic,D1,-2.96,-2.61,5.32,5.17,0.74,-5.76,2026-08-12T04:50:27
Florida Gulf Coast,D1,14.02,2.15,2.38,5.43,3.79,0,2026-08-12T04:50:27
Florida International,D1,-5.61,2.19,0.37,-0.48,5.69,-2.32,2026-08-12T04:50:27
Florida State,D1,31.82,12.44,17.99,17.95,14.43,9.29,2026-08-12T04:50:27
Fordham,D1,-0.79,-4,0.87,-0.27,-2.59,-5.31,2026-08-12T04:50:27
Purdue Fort Wayne,D1,10.99,5.87,0.17,1.83,11.42,0.32,2026-08-12T04:50:27
Fresno State,D1,0.75,3.44,1.26,-0.09,4.78,2.33,2026-08-12T04:50:27
Furman,D1,-6.89,-5.14,-2.37,0,-3.02,-7.12,2026-08-12T04:50:27
Gardner-Webb,D1,-15.21,-15.82,-8.37,-7.07,-14.68,-16.89,2026-08-12T04:50:27
George Mason,D1,18.59,15.25,8.04,7.39,15.85,14.32,2026-08-12T04:50:27
George Washington,D1,-4.96,3.28,4.11,3.64,7.85,-1.56,2026-08-12T04:50:27
Georgetown,D1,9.81,12.7,12.54,8.8,14.76,10.19,2026-08-12T04:50:27
Georgia,D1,12.84,27.5,16.06,14.88,28.54,25.51,2026-08-12T04:50:27
Georgia Southern,D1,-2.01,12.02,6.82,6.16,16.46,7.59,2026-08-12T04:50:27
Georgia State,D1,-2.5,-2.96,5.42,5.17,-1.67,-4.16,2026-08-12T04:50:27
